participant_id,condition,item_id,flagged,item_type,item_position,caught,false_alarm
B01,before,1,0,correct,1,0,0
B02,before,1,0,correct,1,0,0
B03,before,1,0,correct,1,0,0
B04,before,1,0,correct,1,0,0
B01,before,2,0,correct,2,0,0
B02,before,2,0,correct,2,0,0
B03,before,2,0,correct,2,0,0
B04,before,2,0,correct,2,0,0
B01,before,3,1,error,3,1,0
B02,before,3,1,error,3,1,0
B03,before,3,1,error,3,1,0
B04,before,3,1,error,3,1,0
B01,before,4,0,correct,4,0,0
B02,before,4,0,correct,4,0,0
B03,before,4,0,correct,4,0,0
B04,before,4,0,correct,4,0,0
B01,before,5,0,correct,5,0,0
B02,before,5,0,correct,5,0,0
B03,before,5,0,correct,5,0,0
B04,before,5,0,correct,5,0,0
B01,before,6,1,error,6,1,0
B02,before,6,1,error,6,1,0
B03,before,6,1,error,6,1,0
B04,before,6,0,error,6,0,0
B01,before,7,0,correct,7,0,0
B02,before,7,0,correct,7,0,0
B03,before,7,0,correct,7,0,0
B04,before,7,0,correct,7,0,0
B01,before,8,1,error,8,1,0
B02,before,8,1,error,8,1,0
B03,before,8,1,error,8,1,0
B04,before,8,1,error,8,1,0
B01,before,9,0,correct,9,0,0
B02,before,9,0,correct,9,0,0
B03,before,9,0,correct,9,0,0
B04,before,9,0,correct,9,0,0
B01,before,10,1,error,10,1,0
B02,before,10,1,error,10,1,0
B03,before,10,0,error,10,0,0
B04,before,10,1,error,10,1,0
B01,before,11,0,correct,11,0,0
B02,before,11,1,correct,11,0,1
B03,before,11,0,correct,11,0,0
B04,before,11,0,correct,11,0,0
B01,before,12,1,error,12,1,0
B02,before,12,1,error,12,1,0
B03,before,12,1,error,12,1,0
B04,before,12,1,error,12,1,0
B01,before,13,0,correct,13,0,0
B02,before,13,0,correct,13,0,0
B03,before,13,0,correct,13,0,0
B04,before,13,0,correct,13,0,0
B01,before,14,1,error,14,1,0
B02,before,14,1,error,14,1,0
B03,before,14,1,error,14,1,0
B04,before,14,0,error,14,0,0
B01,before,15,0,correct,15,0,0
B02,before,15,0,correct,15,0,0
B03,before,15,0,correct,15,0,0
B04,before,15,0,correct,15,0,0
B01,before,16,1,error,16,1,0
B02,before,16,0,error,16,0,0
B03,before,16,1,error,16,1,0
B04,before,16,1,error,16,1,0
B01,before,17,0,correct,17,0,0
B02,before,17,0,correct,17,0,0
B03,before,17,0,correct,17,0,0
B04,before,17,1,correct,17,0,1
B01,before,18,1,error,18,1,0
B02,before,18,1,error,18,1,0
B03,before,18,1,error,18,1,0
B04,before,18,1,error,18,1,0
B01,before,19,0,correct,19,0,0
B02,before,19,0,correct,19,0,0
B03,before,19,0,correct,19,0,0
B04,before,19,0,correct,19,0,0
B01,before,20,0,correct,20,0,0
B02,before,20,0,correct,20,0,0
B03,before,20,0,correct,20,0,0
B04,before,20,0,correct,20,0,0
A01,after,1,0,correct,1,0,0
A02,after,1,0,correct,1,0,0
A03,after,1,0,correct,1,0,0
A04,after,1,0,correct,1,0,0
A01,after,2,0,correct,2,0,0
A02,after,2,0,correct,2,0,0
A03,after,2,0,correct,2,0,0
A04,after,2,0,correct,2,0,0
A01,after,3,1,error,3,1,0
A02,after,3,1,error,3,1,0
A03,after,3,1,error,3,1,0
A04,after,3,0,error,3,0,0
A01,after,4,0,correct,4,0,0
A02,after,4,0,correct,4,0,0
A03,after,4,0,correct,4,0,0
A04,after,4,0,correct,4,0,0
A01,after,5,0,correct,5,0,0
A02,after,5,0,correct,5,0,0
A03,after,5,0,correct,5,0,0
A04,after,5,0,correct,5,0,0
A01,after,6,1,error,6,1,0
A02,after,6,1,error,6,1,0
A03,after,6,1,error,6,1,0
A04,after,6,1,error,6,1,0
A01,after,7,0,correct,7,0,0
A02,after,7,0,correct,7,0,0
A03,after,7,0,correct,7,0,0
A04,after,7,0,correct,7,0,0
A01,after,8,1,error,8,1,0
A02,after,8,0,error,8,0,0
A03,after,8,1,error,8,1,0
A04,after,8,1,error,8,1,0
A01,after,9,0,correct,9,0,0
A02,after,9,0,correct,9,0,0
A03,after,9,0,correct,9,0,0
A04,after,9,0,correct,9,0,0
A01,after,10,1,error,10,1,0
A02,after,10,1,error,10,1,0
A03,after,10,0,error,10,0,0
A04,after,10,1,error,10,1,0
A01,after,11,0,correct,11,0,0
A02,after,11,1,correct,11,0,1
A03,after,11,0,correct,11,0,0
A04,after,11,0,correct,11,0,0
A01,after,12,1,error,12,1,0
A02,after,12,1,error,12,1,0
A03,after,12,1,error,12,1,0
A04,after,12,0,error,12,0,0
A01,after,13,0,correct,13,0,0
A02,after,13,0,correct,13,0,0
A03,after,13,0,correct,13,0,0
A04,after,13,0,correct,13,0,0
A01,after,14,1,error,14,1,0
A02,after,14,0,error,14,0,0
A03,after,14,0,error,14,0,0
A04,after,14,1,error,14,1,0
A01,after,15,0,correct,15,0,0
A02,after,15,0,correct,15,0,0
A03,after,15,0,correct,15,0,0
A04,after,15,0,correct,15,0,0
A01,after,16,0,error,16,0,0
A02,after,16,1,error,16,1,0
A03,after,16,0,error,16,0,0
A04,after,16,1,error,16,1,0
A01,after,17,0,correct,17,0,0
A02,after,17,0,correct,17,0,0
A03,after,17,0,correct,17,0,0
A04,after,17,0,correct,17,0,0
A01,after,18,0,error,18,0,0
A02,after,18,0,error,18,0,0
A03,after,18,1,error,18,1,0
A04,after,18,0,error,18,0,0
A01,after,19,0,correct,19,0,0
A02,after,19,0,correct,19,0,0
A03,after,19,0,correct,19,0,0
A04,after,19,0,correct,19,0,0
A01,after,20,0,correct,20,0,0
A02,after,20,0,correct,20,0,0
A03,after,20,0,correct,20,0,0
A04,after,20,1,correct,20,0,1
C01,none,1,0,correct,1,0,0
C01,none,2,0,correct,2,0,0
C01,none,3,1,error,3,1,0
C01,none,4,0,correct,4,0,0
C01,none,5,0,correct,5,0,0
C01,none,6,0,error,6,0,0
C01,none,7,0,correct,7,0,0
C01,none,8,1,error,8,1,0
C01,none,9,0,correct,9,0,0
C01,none,10,0,error,10,0,0
C01,none,11,0,correct,11,0,0
C01,none,12,1,error,12,1,0
C01,none,13,0,correct,13,0,0
C01,none,14,0,error,14,0,0
C01,none,15,0,correct,15,0,0
C01,none,16,1,error,16,1,0
C01,none,17,0,correct,17,0,0
C01,none,18,0,error,18,0,0
C01,none,19,0,correct,19,0,0
C01,none,20,0,correct,20,0,0
C02,none,1,0,correct,1,0,0
C02,none,2,0,correct,2,0,0
C02,none,3,0,error,3,0,0
C02,none,4,0,correct,4,0,0
C02,none,5,0,correct,5,0,0
C02,none,6,1,error,6,1,0
C02,none,7,0,correct,7,0,0
C02,none,8,1,error,8,1,0
C02,none,9,0,correct,9,0,0
C02,none,10,1,error,10,1,0
C02,none,11,1,correct,11,0,1
C02,none,12,0,error,12,0,0
C02,none,13,0,correct,13,0,0
C02,none,14,0,error,14,0,0
C02,none,15,0,correct,15,0,0
C02,none,16,0,error,16,0,0
C02,none,17,0,correct,17,0,0
C02,none,18,0,error,18,0,0
C02,none,19,0,correct,19,0,0
C02,none,20,0,correct,20,0,0
C03,none,1,0,correct,1,0,0
C03,none,2,0,correct,2,0,0
C03,none,3,1,error,3,1,0
C03,none,4,0,correct,4,0,0
C03,none,5,0,correct,5,0,0
C03,none,6,1,error,6,1,0
C03,none,7,0,correct,7,0,0
C03,none,8,0,error,8,0,0
C03,none,9,0,correct,9,0,0
C03,none,10,0,error,10,0,0
C03,none,11,0,correct,11,0,0
C03,none,12,1,error,12,1,0
C03,none,13,0,correct,13,0,0
C03,none,14,0,error,14,0,0
C03,none,15,0,correct,15,0,0
C03,none,16,0,error,16,0,0
C03,none,17,0,correct,17,0,0
C03,none,18,1,error,18,1,0
C03,none,19,0,correct,19,0,0
C03,none,20,0,correct,20,0,0
C04,none,1,0,correct,1,0,0
C04,none,2,0,correct,2,0,0
C04,none,3,0,error,3,0,0
C04,none,4,0,correct,4,0,0
C04,none,5,0,correct,5,0,0
C04,none,6,0,error,6,0,0
C04,none,7,0,correct,7,0,0
C04,none,8,1,error,8,1,0
C04,none,9,0,correct,9,0,0
C04,none,10,0,error,10,0,0
C04,none,11,0,correct,11,0,0
C04,none,12,0,error,12,0,0
C04,none,13,0,correct,13,0,0
C04,none,14,0,error,14,0,0
C04,none,15,0,correct,15,0,0
C04,none,16,1,error,16,1,0
C04,none,17,0,correct,17,0,0
C04,none,18,0,error,18,0,0
C04,none,19,0,correct,19,0,0
C04,none,20,0,correct,20,0,0
